CASP    Decoy               GDT.TS  TMscore.C
CASP12  T0859TS203_1        24.78   0.35
CASP12  T0859TS179_2        24.78   0.35
CASP12  T0859TS417_2        24.78   0.35
CASP12  T0859TS479_1        24.78   0.35
CASP12  T0859TS382_3        24.78   0.37
CASP12  T0859TS114_5        24.78   0.35
CASP12  T0859TS114_4        24.78   0.35
CASP12  T0859TS486_2        24.78   0.35
CASP12  T0859TS320_1        24.78   0.35
CASP12  T0859TS420_1        24.78   0.35
CASP12  T0859TS239_2        24.78   0.35
CASP12  T0859TS073_4        24.78   0.36
CASP12  T0859TS066_4        24.56   0.34
CASP12  T0859TS330_3        24.56   0.31
CASP12  T0859TS011_3        24.34   0.36
CASP12  T0859TS451_3        24.11   0.26
CASP12  T0859TS450_3        24.11   0.33
CASP12  T0859TS450_2        24.11   0.35
CASP12  T0859TS382_2        23.89   0.33
CASP12  T0859TS060_3        23.89   0.41
CASP12  T0859TS011_4        23.89   0.36
CASP12  T0859TS282_3        23.67   0.31
CASP12  T0859TS434_4        23.67   0.38
CASP12  T0859TS060_2        23.67   0.36
CASP12  T0859TS407_3        23.67   0.28
CASP12  T0859TS407_1        23.67   0.29
CASP12  T0859TS016_1        23.45   0.32
CASP12  T0859TS407_5        23.45   0.28
CASP12  T0859TS407_4        23.45   0.26
CASP12  T0859TS102_4        23.23   0.30
CASP12  T0859TS102_2        23.23   0.33
CASP12  T0859TS446_2        23.23   0.29
CASP12  T0859TS166_1        23.23   0.33
CASP12  T0859TS183_4        23.23   0.30
CASP12  T0859TS382_5        23.23   0.34
CASP12  T0859TS498_2        23.23   0.33
CASP12  T0859TS011_1        23.23   0.35
CASP12  T0859TS498_4        23.23   0.30
CASP12  T0859TS060_1        23.23   0.38
CASP12  T0859TS486_5        23.23   0.33
CASP12  T0859TS399_4        23.23   0.23
CASP12  T0859TS439_4        23.01   0.36
CASP12  T0859TS220_3        23.01   0.36
CASP12  T0859TS446_1        23.01   0.27
CASP12  T0859TS042_4        23.01   0.36
CASP12  T0859TS183_3        23.01   0.41
CASP12  T0859TS011_5        23.01   0.37
CASP12  T0859TS486_4        23.01   0.35
CASP12  T0859TS330_5        23.01   0.31
CASP12  T0859TS320_4        23.01   0.41
CASP12  T0859TS213_5        23.01   0.36
CASP12  T0859TS066_2        23.01   0.34
CASP12  T0859TS303_5        22.79   0.29
CASP12  T0859TS451_1        22.79   0.28
CASP12  T0859TS004_1        22.79   0.32
CASP12  T0859TS399_5        22.79   0.23
CASP12  T0859TS399_3        22.79   0.25
CASP12  T0859TS399_2        22.79   0.23
CASP12  T0859TS399_1        22.79   0.23
CASP12  T0859TS126_1        22.57   0.37
CASP12  T0859TS434_5        22.57   0.29
CASP12  T0859TS443_5        22.57   0.30
CASP12  T0859TS004_5        22.57   0.39
CASP12  T0859TS173_1        22.57   0.31
CASP12  T0859TS393_5        22.57   0.30
CASP12  T0859TS287_3        22.57   0.31
CASP12  T0859TS384_1        22.57   0.30
CASP12  T0859TS073_5        22.57   0.35
CASP12  T0859TS303_4        22.34   0.28
CASP12  T0859TS179_5        22.34   0.30
CASP12  T0859TS162_3        22.34   0.32
CASP12  T0859TS417_1        22.34   0.30
CASP12  T0859TS092_1        22.34   0.30
CASP12  T0859TS342_1        22.34   0.30
CASP12  T0859TS048_1        22.34   0.30
CASP12  T0859TS183_5        22.34   0.30
CASP12  T0859TS434_1        22.34   0.25
CASP12  T0859TS407_2        22.34   0.29
CASP12  T0859TS450_4        22.34   0.29
CASP12  T0859TS282_4        22.12   0.28
CASP12  T0859TS451_4        22.12   0.28
CASP12  T0859TS475_2        22.12   0.29
CASP12  T0859TS382_1        22.12   0.33
CASP12  T0859TS474_1        22.12   0.31
CASP12  T0859TS101_4        22.12   0.27
CASP12  T0859TS384_4        22.12   0.35
CASP12  T0859TS384_5        22.12   0.28
CASP12  T0859TS243_5        22.12   0.29
CASP12  T0859TS243_4        22.12   0.31
CASP12  T0859TS179_3        21.90   0.35
CASP12  T0859TS220_2        21.90   0.35
CASP12  T0859TS382_4        21.90   0.32
CASP12  T0859TS004_4        21.90   0.32
CASP12  T0859TS004_2        21.90   0.34
CASP12  T0859TS243_1        21.90   0.31
CASP12  T0859TS243_2        21.90   0.30
CASP12  T0859TS439_3        21.68   0.26
CASP12  T0859TS321_2        21.68   0.31
CASP12  T0859TS443_4        21.68   0.26
CASP12  T0859TS393_4        21.68   0.26
CASP12  T0859TS324_3        21.68   0.25
CASP12  T0859TS236_1        21.68   0.33
CASP12  T0859TS064_2        21.68   0.39
CASP12  T0859TS101_5        21.68   0.26
CASP12  T0859TS287_2        21.68   0.29
CASP12  T0859TS243_3        21.68   0.29
CASP12  T0859TS073_3        21.68   0.24
CASP12  T0859TS179_4        21.46   0.24
CASP12  T0859TS203_3        21.46   0.24
CASP12  T0859TS162_4        21.46   0.30
CASP12  T0859TS417_3        21.46   0.24
CASP12  T0859TS220_1        21.46   0.28
CASP12  T0859TS320_3        21.46   0.24
CASP12  T0859TS232_3        21.46   0.24
CASP12  T0859TS005_3        21.46   0.24
CASP12  T0859TS247_5        21.46   0.30
CASP12  T0859TS042_3        21.46   0.25
CASP12  T0859TS411_3        21.46   0.26
CASP12  T0859TS011_2        21.46   0.35
CASP12  T0859TS236_4        21.46   0.28
CASP12  T0859TS173_2        21.46   0.26
CASP12  T0859TS236_3        21.46   0.33
CASP12  T0859TS232_1        21.46   0.35
CASP12  T0859TS213_1        21.46   0.25
CASP12  T0859TS114_1        21.46   0.24
CASP12  T0859TS095_2        21.46   0.25
CASP12  T0859TS287_5        21.46   0.30
CASP12  T0859TS467_2        21.46   0.30
CASP12  T0859TS089_4        21.46   0.25
CASP12  T0859TS302_2        21.46   0.25
CASP12  T0859TS451_5        21.24   0.26
CASP12  T0859TS446_5        21.24   0.29
CASP12  T0859TS345_2        21.24   0.26
CASP12  T0859TS434_2        21.24   0.29
CASP12  T0859TS420_4        21.24   0.29
CASP12  T0859TS287_1        21.24   0.28
CASP12  T0859TS126_3        21.02   0.32
CASP12  T0859TS236_5        21.02   0.30
CASP12  T0859TS145_1        21.02   0.30
CASP12  T0859TS363_5        21.02   0.31
CASP12  T0859TS439_2        20.80   0.38
CASP12  T0859TS451_2        20.80   0.24
CASP12  T0859TS042_1        20.80   0.36
CASP12  T0859TS479_5        20.80   0.33
CASP12  T0859TS411_5        20.80   0.35
CASP12  T0859TS475_3        20.80   0.29
CASP12  T0859TS396_5        20.80   0.33
CASP12  T0859TS479_3        20.80   0.33
CASP12  T0859TS270_2        20.80   0.33
CASP12  T0859TS425_4        20.80   0.28
CASP12  T0859TS486_3        20.80   0.33
CASP12  T0859TS213_4        20.80   0.36
CASP12  T0859TS066_5        20.80   0.33
CASP12  T0859TS239_3        20.80   0.33
CASP12  T0859TS203_2        20.57   0.38
CASP12  T0859TS322_5        20.57   0.28
CASP12  T0859TS322_2        20.57   0.35
CASP12  T0859TS417_4        20.57   0.38
CASP12  T0859TS411_2        20.57   0.42
CASP12  T0859TS252_3        20.57   0.27
CASP12  T0859TS479_2        20.57   0.38
CASP12  T0859TS396_3        20.57   0.38
CASP12  T0859TS145_3        20.57   0.29
CASP12  T0859TS443_3        20.57   0.29
CASP12  T0859TS083_2        20.57   0.28
CASP12  T0859TS324_4        20.57   0.33
CASP12  T0859TS324_2        20.57   0.38
CASP12  T0859TS077_4        20.57   0.29
CASP12  T0859TS145_5        20.57   0.27
CASP12  T0859TS320_2        20.57   0.38
CASP12  T0859TS114_2        20.57   0.38
CASP12  T0859TS182_1        20.57   0.26
CASP12  T0859TS232_4        20.35   0.33
CASP12  T0859TS321_5        20.35   0.30
CASP12  T0859TS321_4        20.35   0.27
CASP12  T0859TS230_1        20.35   0.29
CASP12  T0859TS287_4        20.35   0.29
CASP12  T0859TS145_2        20.35   0.29
CASP12  T0859TS441_5        20.35   0.31
CASP12  T0859TS040_5        20.13   0.29
CASP12  T0859TS264_5        20.13   0.27
CASP12  T0859TS441_1        20.13   0.31
CASP12  T0859TS230_2        20.13   0.27
CASP12  T0859TS467_3        20.13   0.30
CASP12  T0859TS325_4        20.13   0.29
CASP12  T0859TS173_4        20.13   0.25
CASP12  T0859TS064_4        20.13   0.34
CASP12  T0859TS270_5        20.13   0.25
CASP12  T0859TS467_4        20.13   0.33
CASP12  T0859TS203_5        19.91   0.29
CASP12  T0859TS441_4        19.91   0.31
CASP12  T0859TS247_1        19.91   0.29
CASP12  T0859TS171_3        19.91   0.29
CASP12  T0859TS005_1        19.91   0.29
CASP12  T0859TS345_1        19.91   0.25
CASP12  T0859TS444_2        19.91   0.32
CASP12  T0859TS077_2        19.91   0.29
CASP12  T0859TS077_1        19.91   0.28
CASP12  T0859TS180_2        19.91   0.41
CASP12  T0859TS325_1        19.91   0.30
CASP12  T0859TS420_2        19.91   0.29
CASP12  T0859TS101_2        19.91   0.27
CASP12  T0859TS095_5        19.91   0.29
CASP12  T0859TS302_3        19.91   0.29
CASP12  T0859TS083_5        19.69   0.31
CASP12  T0859TS264_4        19.69   0.26
CASP12  T0859TS264_1        19.69   0.32
CASP12  T0859TS479_4        19.69   0.34
CASP12  T0859TS230_3        19.69   0.27
CASP12  T0859TS396_4        19.69   0.34
CASP12  T0859TS425_5        19.69   0.27
CASP12  T0859TS384_3        19.69   0.30
CASP12  T0859TS173_5        19.69   0.27
CASP12  T0859TS425_3        19.69   0.27
CASP12  T0859TS145_4        19.69   0.29
CASP12  T0859TS064_1        19.69   0.35
CASP12  T0859TS067_1        19.47   0.26
CASP12  T0859TS077_5        19.47   0.26
CASP12  T0859TS456_1        19.47   0.32
CASP12  T0859TS421_2        19.47   0.25
CASP12  T0859TS162_1        19.47   0.27
CASP12  T0859TS252_4        19.47   0.32
CASP12  T0859TS230_4        19.47   0.27
CASP12  T0859TS101_3        19.47   0.28
CASP12  T0859TS114_3        19.25   0.28
CASP12  T0859TS162_5        19.25   0.27
CASP12  T0859TS456_4        19.25   0.33
CASP12  T0859TS102_5        19.25   0.37
CASP12  T0859TS363_2        19.25   0.28
CASP12  T0859TS264_3        19.25   0.30
CASP12  T0859TS475_5        19.25   0.30
CASP12  T0859TS380_1        19.25   0.32
CASP12  T0859TS252_2        19.25   0.27
CASP12  T0859TS230_5        19.25   0.28
CASP12  T0859TS077_3        19.25   0.27
CASP12  T0859TS207_2        19.25   0.27
CASP12  T0859TS026_1        19.25   0.32
CASP12  T0859TS498_5        19.25   0.37
CASP12  T0859TS236_2        19.25   0.37
CASP12  T0859TS252_5        19.25   0.33
CASP12  T0859TS067_2        19.25   0.29
CASP12  T0859TS188_5        19.03   0.25
CASP12  T0859TS188_1        19.03   0.23
CASP12  T0859TS380_5        19.03   0.27
CASP12  T0859TS441_2        19.03   0.34
CASP12  T0859TS067_5        19.03   0.29
CASP12  T0859TS026_3        19.03   0.27
CASP12  T0859TS380_3        19.03   0.27
CASP12  T0859TS026_5        19.03   0.27
CASP12  T0859TS173_3        19.03   0.32
CASP12  T0859TS089_1        19.03   0.27
CASP12  T0859TS436_2        18.80   0.27
CASP12  T0859TS456_3        18.80   0.33
CASP12  T0859TS321_3        18.80   0.26
CASP12  T0859TS239_4        18.80   0.33
CASP12  T0859TS251_2        18.80   0.33
CASP12  T0859TS126_2        18.80   0.28
CASP12  T0859TS380_2        18.80   0.21
CASP12  T0859TS483_2        18.80   0.30
CASP12  T0859TS405_2        18.80   0.30
CASP12  T0859TS425_1        18.80   0.28
CASP12  T0859TS450_5        18.80   0.30
CASP12  T0859TS026_2        18.80   0.21
CASP12  T0859TS182_4        18.80   0.31
CASP12  T0859TS483_3        18.80   0.30
CASP12  T0859TS089_2        18.80   0.22
CASP12  T0859TS325_2        18.58   0.31
CASP12  T0859TS220_4        18.58   0.34
CASP12  T0859TS042_2        18.58   0.33
CASP12  T0859TS345_3        18.58   0.37
CASP12  T0859TS475_1        18.58   0.34
CASP12  T0859TS066_1        18.58   0.33
CASP12  T0859TS270_4        18.58   0.33
CASP12  T0859TS073_2        18.58   0.29
CASP12  T0859TS455_3        18.36   0.27
CASP12  T0859TS322_4        18.36   0.31
CASP12  T0859TS188_3        18.36   0.28
CASP12  T0859TS220_5        18.36   0.31
CASP12  T0859TS480_3        18.36   0.33
CASP12  T0859TS405_4        18.36   0.28
CASP12  T0859TS232_5        18.36   0.25
CASP12  T0859TS444_1        18.36   0.30
CASP12  T0859TS405_5        18.36   0.28
CASP12  T0859TS444_5        18.36   0.29
CASP12  T0859TS064_5        18.36   0.29
CASP12  T0859TS444_4        18.36   0.28
CASP12  T0859TS483_4        18.36   0.29
CASP12  T0859TS357_4        18.36   0.31
CASP12  T0859TS393_3        18.14   0.29
CASP12  T0859TS303_2        18.14   0.30
CASP12  T0859TS239_5        18.14   0.29
CASP12  T0859TS101_1        18.14   0.27
CASP12  T0859TS188_2        18.14   0.24
CASP12  T0859TS213_3        18.14   0.31
CASP12  T0859TS446_3        18.14   0.29
CASP12  T0859TS456_2        18.14   0.29
CASP12  T0859TS180_1        18.14   0.45
CASP12  T0859TS467_5        18.14   0.31
CASP12  T0859TS079_1        18.14   0.29
CASP12  T0859TS066_3        18.14   0.31
CASP12  T0859TS026_4        18.14   0.24
CASP12  T0859TS380_4        18.14   0.24
CASP12  T0859TS022_4        18.14   0.30
CASP12  T0859TS095_4        18.14   0.31
CASP12  T0859TS357_2        17.92   0.29
CASP12  T0859TS405_3        17.92   0.26
CASP12  T0859TS325_5        17.92   0.30
CASP12  T0859TS475_4        17.92   0.32
CASP12  T0859TS325_3        17.92   0.30
CASP12  T0859TS441_3        17.92   0.29
CASP12  T0859TS425_2        17.92   0.26
CASP12  T0859TS083_4        17.92   0.25
CASP12  T0859TS363_1        17.92   0.24
CASP12  T0859TS489_1        17.92   0.26
CASP12  T0859TS282_5        17.70   0.30
CASP12  T0859TS321_1        17.70   0.29
CASP12  T0859TS162_2        17.70   0.29
CASP12  T0859TS126_4        17.70   0.24
CASP12  T0859TS421_1        17.70   0.23
CASP12  T0859TS456_5        17.70   0.27
CASP12  T0859TS483_1        17.70   0.25
CASP12  T0859TS446_4        17.70   0.35
CASP12  T0859TS064_3        17.70   0.32
CASP12  T0859TS264_2        17.48   0.35
CASP12  T0859TS363_4        17.48   0.31
CASP12  T0859TS207_5        17.48   0.27
CASP12  T0859TS282_1        17.48   0.34
CASP12  T0859TS444_3        17.48   0.27
CASP12  T0859TS251_1        17.48   0.32
CASP12  T0859TS251_5        17.48   0.32
CASP12  T0859TS023_3        17.26   0.30
CASP12  T0859TS322_3        17.26   0.31
CASP12  T0859TS363_3        17.26   0.35
CASP12  T0859TS207_3        17.26   0.28
CASP12  T0859TS067_3        17.26   0.35
CASP12  T0859TS252_1        17.26   0.28
CASP12  T0859TS126_5        17.26   0.31
CASP12  T0859TS436_5        17.26   0.26
CASP12  T0859TS432_2        17.26   0.27
CASP12  T0859TS330_4        17.26   0.28
CASP12  T0859TS182_3        17.26   0.26
CASP12  T0859TS330_2        17.26   0.28
CASP12  T0859TS251_3        17.26   0.33
CASP12  T0859TS282_2        17.04   0.26
CASP12  T0859TS405_1        17.04   0.25
CASP12  T0859TS357_5        17.04   0.28
CASP12  T0859TS464_5        17.04   0.21
CASP12  T0859TS171_1        17.04   0.26
CASP12  T0859TS420_5        17.04   0.25
CASP12  T0859TS171_2        17.04   0.26
CASP12  T0859TS357_3        17.04   0.25
CASP12  T0859TS083_3        17.04   0.26
CASP12  T0859TS067_4        16.81   0.30
CASP12  T0859TS393_2        16.81   0.26
CASP12  T0859TS083_1        16.81   0.22
CASP12  T0859TS480_5        16.81   0.28
CASP12  T0859TS229_1        16.81   0.28
CASP12  T0859TS207_1        16.81   0.29
CASP12  T0859TS188_4        16.81   0.22
CASP12  T0859TS251_4        16.81   0.27
CASP12  T0859TS182_2        16.59   0.26
CASP12  T0859TS421_3        16.37   0.25
CASP12  T0859TS023_2        16.37   0.25
CASP12  T0859TS432_3        16.37   0.26
CASP12  T0859TS357_1        16.37   0.27
CASP12  T0859TS040_3        16.37   0.22
CASP12  T0859TS182_5        16.37   0.27
CASP12  T0859TS432_4        16.37   0.29
CASP12  T0859TS022_2        16.37   0.25
CASP12  T0859TS303_1        16.15   0.26
CASP12  T0859TS345_5        16.15   0.25
CASP12  T0859TS040_2        16.15   0.24
CASP12  T0859TS022_1        15.93   0.25
CASP12  T0859TS467_1        15.93   0.26
CASP12  T0859TS180_5        15.93   0.30
CASP12  T0859TS180_4        15.93   0.48
CASP12  T0859TS022_3        15.93   0.29
CASP12  T0859TS483_5        15.71   0.25
CASP12  T0859TS023_4        15.71   0.25
CASP12  T0859TS432_1        15.71   0.27
CASP12  T0859TS345_4        15.71   0.25
CASP12  T0859TS480_4        15.71   0.24
CASP12  T0859TS432_5        15.49   0.24
CASP12  T0859TS275_4        15.49   0.24
CASP12  T0859TS464_4        15.49   0.20
CASP12  T0859TS040_1        15.49   0.26
CASP12  T0859TS455_4        15.27   0.31
CASP12  T0859TS229_4        15.27   0.27
CASP12  T0859TS040_4        15.27   0.28
CASP12  T0859TS436_4        15.04   0.25
CASP12  T0859TS275_2        15.04   0.27
CASP12  T0859TS436_1        15.04   0.24
CASP12  T0859TS229_2        14.82   0.25
CASP12  T0859TS275_5        14.82   0.27
CASP12  T0859TS022_5        14.82   0.25
CASP12  T0859TS480_2        14.82   0.22
CASP12  T0859TS275_3        14.60   0.27
CASP12  T0859TS258_1        14.60   0.27
CASP12  T0859TS275_1        14.60   0.29
CASP12  T0859TS464_1        14.60   0.25
CASP12  T0859TS250_3        14.38   0.29
CASP12  T0859TS436_3        14.38   0.26
CASP12  T0859TS313_4        14.38   0.25
CASP12  T0859TS258_3        14.38   0.27
CASP12  T0859TS250_5        14.38   0.29
CASP12  T0859TS258_2        14.16   0.27
CASP12  T0859TS229_3        14.16   0.32
CASP12  T0859TS258_5        14.16   0.27
CASP12  T0859TS330_1        14.16   0.27
CASP12  T0859TS313_2        14.16   0.24
CASP12  T0859TS250_1        14.16   0.29
CASP12  T0859TS229_5        14.16   0.35
CASP12  T0859TS250_4        14.16   0.28
CASP12  T0859TS313_5        14.16   0.26
CASP12  T0859TS250_2        14.16   0.29
CASP12  T0859TS258_4        14.16   0.27
CASP12  T0859TS089_3        13.94   0.24
CASP12  T0859TS119_1        13.94   0.24
CASP12  T0859TS151_1        13.94   0.28
CASP12  T0859TS313_1        13.94   0.25
CASP12  T0859TS349_1        13.94   0.24
CASP12  T0859TS247_3        13.94   0.26
CASP12  T0859TS313_3        13.94   0.24
CASP12  T0859TS023_5        13.94   0.26
CASP12  T0859TS480_1        13.72   0.28
CASP12  T0859TS180_3        13.72   0.26
CASP12  T0859TS023_1        13.72   0.25
CASP12  T0859TS455_2        13.72   0.22
CASP12  T0859TS464_3        13.72   0.22
CASP12  T0859TS019_1        13.50   0.27
CASP12  T0859TS207_4        13.27   0.26
CASP12  T0859TS421_4        13.27   0.23
CASP12  T0859TS455_1        13.27   0.27
CASP12  T0859TS455_5        13.27   0.26
CASP12  T0859TS464_2        13.27   0.23
CASP12  T0859TS359_4        13.05   0.26
CASP12  T0859TS005_5        13.05   0.25
CASP12  T0859TS359_2        13.05   0.26
CASP12  T0859TS359_5        13.05   0.26
CASP12  T0859TS420_3        13.05   0.25
CASP12  T0859TS359_3        13.05   0.26
CASP12  T0859TS302_5        12.83   0.25
CASP12  T0859TS421_5        12.61   0.23
CASP12  T0859TS192_1        12.39   0.24
CASP12  T0859TS359_1        11.95   0.27
CASP12  T0860TS005_1        81.80   0.87
CASP12  T0860TS005_5        81.62   0.88
CASP12  T0860TS430_1        79.96   0.87
CASP12  T0860TS430_2        79.78   0.86
CASP12  T0860TS430_3        79.41   0.87
CASP12  T0860TS005_4        79.41   0.85
CASP12  T0860TS430_4        79.41   0.86
CASP12  T0860TS220_1        79.41   0.87
CASP12  T0860TS430_5        79.23   0.86
CASP12  T0860TS313_3        79.04   0.85
CASP12  T0860TS313_5        79.04   0.85
CASP12  T0860TS313_4        78.86   0.85
CASP12  T0860TS313_2        78.68   0.85
CASP12  T0860TS220_4        78.68   0.86
CASP12  T0860TS220_3        78.31   0.86
CASP12  T0860TS313_1        78.31   0.85
CASP12  T0860TS220_2        78.31   0.86
CASP12  T0860TS275_3        78.12   0.85
CASP12  T0860TS220_5        78.12   0.86
CASP12  T0860TS349_1        77.94   0.85
CASP12  T0860TS275_5        77.94   0.84
CASP12  T0860TS119_1        77.94   0.85
CASP12  T0860TS077_1        77.94   0.84
CASP12  T0860TS425_3        77.94   0.85
CASP12  T0860TS425_4        77.76   0.85
CASP12  T0860TS275_4        77.57   0.85
CASP12  T0860TS359_2        77.39   0.84
CASP12  T0860TS275_2        77.39   0.85
CASP12  T0860TS005_2        77.39   0.85
CASP12  T0860TS077_2        77.39   0.83
CASP12  T0860TS077_3        77.39   0.84
CASP12  T0860TS077_4        77.39   0.84
CASP12  T0860TS359_3        77.39   0.85
CASP12  T0860TS077_5        77.21   0.84
CASP12  T0860TS359_5        77.21   0.84
CASP12  T0860TS359_1        76.65   0.83
CASP12  T0860TS425_1        76.65   0.84
CASP12  T0860TS275_1        76.65   0.83
CASP12  T0860TS425_5        76.47   0.84
CASP12  T0860TS425_2        76.10   0.83
CASP12  T0860TS005_3        75.92   0.84
CASP12  T0860TS359_4        72.98   0.85
CASP12  T0860TS495_5        72.98   0.83
CASP12  T0860TS405_1        72.79   0.85
CASP12  T0860TS250_2        72.79   0.84
CASP12  T0860TS250_4        72.61   0.83
CASP12  T0860TS479_1        72.61   0.85
CASP12  T0860TS345_4        72.61   0.85
CASP12  T0860TS495_4        72.61   0.83
CASP12  T0860TS250_1        72.61   0.83
CASP12  T0860TS250_5        72.43   0.83
CASP12  T0860TS284_1        72.43   0.83
CASP12  T0860TS183_1        72.43   0.84
CASP12  T0860TS250_3        72.43   0.82
CASP12  T0860TS183_2        72.24   0.84
CASP12  T0860TS405_2        72.06   0.85
CASP12  T0860TS382_3        71.88   0.83
CASP12  T0860TS382_4        71.88   0.83
CASP12  T0860TS382_5        71.88   0.83
CASP12  T0860TS382_2        71.69   0.83
CASP12  T0860TS382_1        71.69   0.83
CASP12  T0860TS405_3        71.51   0.85
CASP12  T0860TS495_1        71.51   0.82
CASP12  T0860TS405_4        71.51   0.85
CASP12  T0860TS405_5        71.51   0.85
CASP12  T0860TS479_2        71.32   0.85
CASP12  T0860TS446_2        71.32   0.84
CASP12  T0860TS446_1        71.32   0.84
CASP12  T0860TS258_4        70.77   0.86
CASP12  T0860TS495_3        70.77   0.82
CASP12  T0860TS236_1        70.77   0.85
CASP12  T0860TS287_5        70.77   0.84
CASP12  T0860TS287_4        70.59   0.84
CASP12  T0860TS287_3        70.59   0.84
CASP12  T0860TS287_2        70.40   0.83
CASP12  T0860TS236_5        70.40   0.85
CASP12  T0860TS287_1        70.40   0.84
CASP12  T0860TS236_3        70.22   0.83
CASP12  T0860TS421_1        70.04   0.85
CASP12  T0860TS258_1        70.04   0.86
CASP12  T0860TS345_3        69.85   0.86
CASP12  T0860TS258_2        69.85   0.86
CASP12  T0860TS421_3        69.67   0.85
CASP12  T0860TS236_2        69.67   0.83
CASP12  T0860TS345_1        69.30   0.86
CASP12  T0860TS258_5        69.30   0.85
CASP12  T0860TS258_3        69.30   0.86
CASP12  T0860TS421_2        69.30   0.85
CASP12  T0860TS236_4        68.75   0.81
CASP12  T0860TS345_2        68.57   0.84
CASP12  T0860TS092_1        68.57   0.85
CASP12  T0860TS251_4        68.38   0.80
CASP12  T0860TS048_1        68.38   0.85
CASP12  T0860TS251_3        68.38   0.80
CASP12  T0860TS251_2        67.46   0.79
CASP12  T0860TS444_1        67.28   0.81
CASP12  T0860TS251_5        65.81   0.78
CASP12  T0860TS495_2        63.97   0.76
CASP12  T0860TS251_1        63.79   0.74
CASP12  T0860TS407_5        50.18   0.59
CASP12  T0860TS407_2        49.82   0.59
CASP12  T0860TS407_1        49.45   0.59
CASP12  T0860TS407_3        48.35   0.56
CASP12  T0860TS407_4        47.43   0.56
CASP12  T0860TS357_2        44.67   0.71
CASP12  T0860TS357_3        44.30   0.70
CASP12  T0860TS357_5        44.12   0.70
CASP12  T0860TS357_4        42.10   0.66
CASP12  T0860TS357_1        41.54   0.70
CASP12  T0860TS345_5        33.46   0.44
CASP12  T0860TS464_4        32.54   0.39
CASP12  T0860TS464_3        32.54   0.36
CASP12  T0860TS464_1        31.80   0.40
CASP12  T0860TS451_3        18.93   0.28
CASP12  T0860TS479_4        18.57   0.35
CASP12  T0860TS451_2        18.02   0.31
CASP12  T0860TS183_3        17.83   0.35
CASP12  T0860TS451_1        17.46   0.26
CASP12  T0860TS432_3        17.28   0.27
CASP12  T0860TS467_5        17.10   0.26
CASP12  T0860TS183_4        17.10   0.26
CASP12  T0860TS479_5        16.91   0.30
CASP12  T0860TS321_1        16.54   0.28
CASP12  T0860TS180_3        16.54   0.26
CASP12  T0860TS451_4        16.18   0.31
CASP12  T0860TS451_5        16.18   0.27
CASP12  T0860TS284_4        15.81   0.27
CASP12  T0860TS432_4        15.62   0.28
CASP12  T0860TS028_4        15.44   0.23
CASP12  T0860TS467_1        15.44   0.30
CASP12  T0860TS284_2        15.07   0.30
CASP12  T0860TS180_1        14.89   0.27
CASP12  T0860TS028_3        14.71   0.26
CASP12  T0860TS432_5        14.71   0.29
CASP12  T0860TS284_5        14.71   0.27
